iter	Passed	Remaining
0	0	60
1	1	57
2	1	56
3	2	53
4	2	53
5	3	52
6	3	52
7	4	52
8	5	52
9	5	51
10	6	50
11	6	50
12	7	50
13	8	49
14	8	49
15	9	48
16	9	47
17	10	47
18	10	46
19	11	45
20	12	45
21	12	45
22	13	44
23	13	44
24	14	43
25	15	43
26	15	42
27	16	41
28	16	41
29	17	40
30	17	40
31	18	39
32	19	38
33	19	38
34	20	37
35	20	37
36	21	36
37	22	35
38	22	35
39	23	34
40	23	34
41	24	33
42	24	32
43	25	31
44	25	31
45	26	31
46	27	30
47	27	30
48	28	29
49	28	28
50	29	28
51	30	27
52	30	27
53	30	26
54	31	25
55	31	24
56	32	24
57	32	23
58	33	23
59	33	22
60	34	21
61	34	21
62	35	20
63	35	20
64	36	19
65	37	19
66	37	18
67	38	17
68	38	17
69	39	16
70	39	16
71	40	15
72	40	15
73	41	14
74	41	13
75	42	13
76	43	12
77	43	12
78	44	11
79	44	11
80	45	10
81	45	9
82	46	9
83	46	8
84	47	8
85	47	7
86	48	7
87	48	6
88	49	6
89	49	5
90	50	4
91	50	4
92	51	3
93	51	3
94	52	2
95	52	2
96	53	1
97	53	1
98	54	0
99	54	0
