iter	Passed	Remaining
0	135	135479
1	137	68653
2	139	46323
3	141	35127
4	143	28459
5	145	24152
6	147	20977
7	149	18554
8	151	16674
9	153	15164
10	154	13919
11	156	12883
12	159	12081
13	161	11378
14	163	10721
15	164	10144
16	166	9641
17	168	9204
18	170	8798
19	173	8510
20	175	8178
21	177	7872
22	178	7588
23	180	7328
24	181	7090
25	183	6868
26	185	6668
27	187	6515
28	189	6352
29	191	6188
30	193	6033
31	194	5886
32	196	5751
33	197	5624
34	200	5538
35	203	5442
36	204	5335
37	206	5230
38	208	5132
39	209	5038
40	211	4950
41	214	4886
42	217	4835
43	219	4759
44	220	4681
45	222	4607
46	223	4535
47	225	4467
48	227	4406
49	228	4348
50	230	4292
51	232	4230
52	233	4167
53	234	4109
54	235	4053
55	236	3992
56	237	3934
57	238	3877
58	240	3830
59	241	3778
60	242	3727
61	243	3676
62	244	3630
63	244	3582
64	245	3536
65	246	3490
66	247	3445
67	248	3401
68	249	3361
69	249	3321
70	250	3280
71	251	3242
72	252	3202
73	252	3164
74	253	3126
75	254	3093
76	255	3058
77	255	3023
78	256	2989
79	257	2956
80	257	2923
81	258	2894
82	258	2861
83	259	2832
84	260	2802
85	260	2773
86	261	2744
87	262	2715
88	262	2688
89	263	2661
90	263	2636
91	264	2610
92	265	2585
93	265	2560
94	266	2536
95	266	2512
96	267	2489
97	267	2466
98	268	2444
99	269	2421
100	269	2399
101	270	2378
102	270	2356
103	271	2336
104	271	2315
105	272	2295
106	272	2275
107	273	2257
108	274	2240
109	274	2222
110	275	2204
111	275	2186
112	276	2167
113	276	2150
114	277	2132
115	277	2115
116	277	2097
117	278	2081
118	278	2065
119	279	2048
120	279	2033
121	280	2017
122	280	2002
123	281	1987
124	281	1972
125	282	1958
126	282	1943
127	283	1929
128	283	1915
129	284	1902
130	284	1888
131	285	1875
132	285	1862
133	286	1849
134	286	1836
135	287	1824
136	287	1812
137	288	1800
138	288	1789
139	289	1777
140	289	1765
141	290	1753
142	290	1742
143	291	1730
144	291	1719
145	292	1708
146	292	1698
147	293	1687
148	293	1676
149	294	1666
150	294	1656
151	295	1646
152	295	1636
153	296	1627
154	296	1618
155	297	1609
156	298	1600
157	298	1591
158	299	1582
159	299	1573
160	299	1563
161	300	1554
162	301	1546
163	301	1538
164	302	1529
165	303	1522
166	303	1516
167	304	1508
168	305	1499
169	305	1491
170	305	1483
171	306	1475
172	306	1467
173	307	1459
174	307	1451
175	308	1444
176	308	1436
177	309	1429
178	309	1421
179	310	1414
180	310	1407
181	311	1399
182	311	1392
183	312	1385
184	312	1378
185	313	1371
186	313	1364
187	314	1357
188	314	1350
189	315	1343
190	315	1337
191	316	1330
192	316	1324
193	317	1317
194	317	1311
195	318	1305
196	318	1299
197	319	1293
198	319	1287
199	320	1281
200	320	1275
201	321	1269
202	321	1263
203	322	1257
204	322	1251
205	323	1245
206	323	1240
207	324	1235
208	324	1229
209	325	1224
210	325	1218
211	326	1213
212	326	1207
213	327	1202
214	327	1197
215	328	1192
216	328	1186
217	329	1181
218	329	1176
219	330	1171
220	330	1166
221	331	1161
222	331	1156
223	332	1151
224	332	1146
225	333	1143
226	334	1138
227	334	1133
228	335	1128
229	335	1123
230	336	1119
231	336	1114
232	337	1109
233	337	1105
234	338	1101
235	338	1097
236	339	1092
237	339	1088
238	340	1083
239	340	1079
240	341	1075
241	341	1070
242	342	1066
243	342	1062
244	343	1057
245	343	1053
246	344	1049
247	344	1045
248	345	1041
249	345	1037
250	346	1032
251	346	1028
252	347	1024
253	347	1021
254	348	1017
255	348	1014
256	349	1010
257	349	1006
258	350	1002
259	351	999
260	351	996
261	352	992
262	352	989
263	353	985
264	353	981
265	354	978
266	354	974
267	355	970
268	355	967
269	356	963
270	356	959
271	357	956
272	357	952
273	358	949
274	358	945
275	359	942
276	359	939
277	360	935
278	360	932
279	361	929
280	361	925
281	362	922
282	362	919
283	363	916
284	364	913
285	364	909
286	364	906
287	365	903
288	365	900
289	366	897
290	367	894
291	367	891
292	368	888
293	368	885
294	369	882
295	369	879
296	370	876
297	370	873
298	371	870
299	371	866
300	372	864
301	372	861
302	373	858
303	373	855
304	374	852
305	374	849
306	375	846
307	375	843
308	376	840
309	376	837
310	376	835
311	377	832
312	378	829
313	378	827
314	379	824
315	379	822
316	380	819
317	380	816
318	381	814
319	381	811
320	382	808
321	382	806
322	383	803
323	383	800
324	384	798
325	384	795
326	385	793
327	385	790
328	386	787
329	386	785
330	387	782
331	387	780
332	388	777
333	388	775
334	389	772
335	389	770
336	390	767
337	390	765
338	391	762
339	391	760
340	392	757
341	392	755
342	393	753
343	393	751
344	394	749
345	395	746
346	395	744
347	395	741
348	396	739
349	396	737
350	397	734
351	397	732
352	398	730
353	398	727
354	399	725
355	399	723
356	400	720
357	400	718
358	401	716
359	401	714
360	402	712
361	402	709
362	403	707
363	403	705
364	404	703
365	404	701
366	405	698
367	405	696
368	406	694
369	406	692
370	407	690
371	408	688
372	408	687
373	409	685
374	409	683
375	410	681
376	410	678
377	411	676
378	411	674
379	412	672
380	412	670
381	413	668
382	413	666
383	414	664
384	414	662
385	415	660
386	415	658
387	416	656
388	416	654
389	417	652
390	417	650
391	418	648
392	418	646
393	419	644
394	419	642
395	420	640
396	420	638
397	421	636
398	421	635
399	422	633
400	423	632
401	423	630
402	424	628
403	424	626
404	425	624
405	425	622
406	426	621
407	426	619
408	427	617
409	427	615
410	428	613
411	428	611
412	429	609
413	429	608
414	430	606
415	430	604
416	431	602
417	431	600
418	431	599
419	432	597
420	432	595
421	433	593
422	434	592
423	434	590
424	434	588
425	435	586
426	436	585
427	436	583
428	437	581
429	437	580
430	438	578
431	438	577
432	439	575
433	439	573
434	440	572
435	441	570
436	441	569
437	442	567
438	442	565
439	443	563
440	443	562
441	444	560
442	444	558
443	445	557
444	445	555
445	446	554
446	446	552
447	446	550
448	447	549
449	447	547
450	448	545
451	448	544
452	449	542
453	449	540
454	450	539
455	451	538
456	451	536
457	452	535
458	453	534
459	453	532
460	454	531
461	454	529
462	455	528
463	455	526
464	456	524
465	456	523
466	457	521
467	457	520
468	458	518
469	458	517
470	459	515
471	459	514
472	460	512
473	460	511
474	461	509
475	461	508
476	462	506
477	462	505
478	463	503
479	463	502
480	464	500
481	464	499
482	465	497
483	465	496
484	466	494
485	466	493
486	467	492
487	468	491
488	468	489
489	469	488
490	469	486
491	470	485
492	470	483
493	471	482
494	471	481
495	471	479
496	472	478
497	472	476
498	473	475
499	473	473
500	474	472
501	474	471
502	475	469
503	475	468
504	476	467
505	476	465
506	477	464
507	477	462
508	478	461
509	478	460
510	479	458
511	479	457
512	480	456
513	480	454
514	481	453
515	482	452
516	482	451
517	483	449
518	483	448
519	484	447
520	484	445
521	485	444
522	485	443
523	486	441
524	486	440
525	487	439
526	487	437
527	488	436
528	488	435
529	489	433
530	489	432
531	490	431
532	490	429
533	491	428
534	491	427
535	492	425
536	492	424
537	493	423
538	493	422
539	494	420
540	494	419
541	495	418
542	495	417
543	496	415
544	496	414
545	497	413
546	497	412
547	498	411
548	498	409
549	499	408
550	499	407
551	500	405
552	500	404
553	501	403
554	501	402
555	502	400
556	502	399
557	503	398
558	503	397
559	504	396
560	504	394
561	505	393
562	505	392
563	505	391
564	506	389
565	506	388
566	507	387
567	507	386
568	508	385
569	508	383
570	509	382
571	510	381
572	510	380
573	510	379
574	511	378
575	512	376
576	512	375
577	513	374
578	513	373
579	514	372
580	514	371
581	515	370
582	515	368
583	516	367
584	516	366
585	517	365
586	517	364
587	518	363
588	518	361
589	519	360
590	519	359
591	520	358
592	520	357
593	521	356
594	522	355
595	522	354
596	523	353
597	523	352
598	524	351
599	524	349
600	525	348
601	525	347
602	526	346
603	527	345
604	527	344
605	528	343
606	528	342
607	529	341
608	529	340
609	530	339
610	530	338
611	531	336
612	531	335
613	532	334
614	532	333
615	533	332
616	533	331
617	534	330
618	536	329
619	536	328
620	537	327
621	537	326
622	538	325
623	538	324
624	539	323
625	539	322
626	540	321
627	540	320
628	541	319
629	541	318
630	542	317
631	542	316
632	543	315
633	543	313
634	544	312
635	544	311
636	545	310
637	546	309
638	546	308
639	547	307
640	547	306
641	548	305
642	548	304
643	549	303
644	549	302
645	550	301
646	550	300
647	551	299
648	551	298
649	552	297
650	552	296
651	553	295
652	553	294
653	554	293
654	554	292
655	555	291
656	555	290
657	556	289
658	556	288
659	557	287
660	558	286
661	558	285
662	559	284
663	559	283
664	560	282
665	560	281
666	560	280
667	561	279
668	561	278
669	562	276
670	562	276
671	563	275
672	564	274
673	564	273
674	565	272
675	565	271
676	566	270
677	566	269
678	567	268
679	567	267
680	567	266
681	568	265
682	568	264
683	569	263
684	569	262
685	570	261
686	570	260
687	571	259
688	572	258
689	572	257
690	573	256
691	573	255
692	574	254
693	574	253
694	575	252
695	575	251
696	575	250
697	576	249
698	576	248
699	577	247
700	578	246
701	578	245
702	579	244
703	579	243
704	579	242
705	580	241
706	580	240
707	581	239
708	581	238
709	582	237
710	582	236
711	583	235
712	583	234
713	584	234
714	584	233
715	585	232
716	585	231
717	586	230
718	586	229
719	587	228
720	587	227
721	588	226
722	588	225
723	589	224
724	589	223
725	590	222
726	590	221
727	591	220
728	591	220
729	592	219
730	592	218
731	593	217
732	593	216
733	594	215
734	594	214
735	595	213
736	595	212
737	596	211
738	596	210
739	597	209
740	597	208
741	598	208
742	598	207
743	599	206
744	599	205
745	600	204
746	600	203
747	601	202
748	601	201
749	602	200
750	602	199
751	603	199
752	603	198
753	604	197
754	604	196
755	605	195
756	605	194
757	606	193
758	607	192
759	607	191
760	608	190
761	608	190
762	608	189
763	609	188
764	610	187
765	610	186
766	611	185
767	611	184
768	611	183
769	612	182
770	612	182
771	613	181
772	613	180
773	614	179
774	614	178
775	615	177
776	616	176
777	616	175
778	617	175
779	617	174
780	618	173
781	618	172
782	619	171
783	619	170
784	620	169
785	620	169
786	621	168
787	621	167
788	622	166
789	622	165
790	623	164
791	623	163
792	624	162
793	624	162
794	625	161
795	625	160
796	626	159
797	626	158
798	627	157
799	627	156
800	628	156
801	628	155
802	628	154
803	629	153
804	629	152
805	630	151
806	630	150
807	631	150
808	632	149
809	632	148
810	633	147
811	633	146
812	634	145
813	635	145
814	635	144
815	636	143
816	636	142
817	636	141
818	637	140
819	637	140
820	638	139
821	638	138
822	639	137
823	640	136
824	640	135
825	640	135
826	641	134
827	641	133
828	642	132
829	642	131
830	643	130
831	643	130
832	644	129
833	644	128
834	645	127
835	645	126
836	646	125
837	647	125
838	647	124
839	648	123
840	648	122
841	649	121
842	650	121
843	650	120
844	651	119
845	651	118
846	652	117
847	652	117
848	653	116
849	653	115
850	654	114
851	654	113
852	655	112
853	655	112
854	656	111
855	656	110
856	657	109
857	657	108
858	658	108
859	658	107
860	659	106
861	659	105
862	660	104
863	660	104
864	661	103
865	662	102
866	662	101
867	663	100
868	663	100
869	664	99
870	664	98
871	665	97
872	665	96
873	666	96
874	666	95
875	667	94
876	667	93
877	668	92
878	668	92
879	668	91
880	669	90
881	669	89
882	670	88
883	670	88
884	671	87
885	671	86
886	672	85
887	672	84
888	673	84
889	673	83
890	674	82
891	674	81
892	675	80
893	675	80
894	676	79
895	677	78
896	677	77
897	678	77
898	678	76
899	679	75
900	679	74
901	680	73
902	680	73
903	681	72
904	681	71
905	682	70
906	682	69
907	683	69
908	683	68
909	684	67
910	684	66
911	685	66
912	685	65
913	686	64
914	686	63
915	687	63
916	687	62
917	688	61
918	688	60
919	689	59
920	689	59
921	689	58
922	690	57
923	690	56
924	691	56
925	692	55
926	692	54
927	693	53
928	693	53
929	694	52
930	694	51
931	695	50
932	695	49
933	696	49
934	696	48
935	697	47
936	697	46
937	698	46
